ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
497,Umar Ali Khan,BEHAT,SP,1,5 Crore+,14 Lac+,UTTARPRADESH,Post Graduate
498,Sapam Nishikant Singh,KEISAMTHONG,IND,1,29 Crore+,2 Crore+,MANIPUR,Graduate
499,Shrinivas Chintaman Vanga,PALGHAR (ST),SHS,0,72 Lac+,22 Lac+,MAHARASHTRA,Graduate
500,Manohar Randhari,DABUGAM,BJD,4,1 Crore+,11 Lac+,ODISHA,12th Pass
501,Atul Bhansali,JODHPUR,BJP,0,18 Crore+,5 Crore+,RAJASTHAN,Graduate Professional
502,Subhash Sudha,THANESAR,BJP,0,5 Crore+,30 Lac+,HARYANA,Graduate
503,Jitu Goswami,BARHAMPUR,BJP,3,0,3 Crore+,ASSAM,12th Pass
504,Sanjay Sharma,ALWAR URBAN,BJP,3,4 Crore+,4 Crore+,RAJASTHAN,Graduate
505,Pundarikakshya Saha,NABADWIP,AITC,0,30 Thou+,0,WESTBENGAL,Graduate
506,Uttara Singha Hazra,GARBETA,AITC,1,1 Crore+,63 Lac+,WESTBENGAL,Graduate
507,Harish Poonja,BELTHANGADY,BJP,1,3 Crore+,1 Crore+,KARNATAKA,Graduate Professional
508,Mukesh Agnihotri,HAROLI,INC,5,5 Crore+,49 Lac+,HIMACHALPRADESH,Post Graduate
509,Aniruddha Prasad Yadav,NIRMALI,JD(U),0,6 Crore+,0,BIHAR,12th Pass
510,Satish Chandra Sharma,DARIYABAD,BJP,1,1 Crore+,18 Lac+,UTTARPRADESH,Post Graduate
511,Seema Mahesh Hiray (Seematai),NASHIK WEST,BJP,1,20 Crore+,84 Lac+,MAHARASHTRA,10th Pass
512,"Mano Thangaraj, T.",PADMANABHAPURAM,DMK,29,23 Lac+,8 Lac+,TAMIL NADU,10th Pass
513,Premchand Patel,KATGHORA,BJP,0,2 Crore+,2 Lac+,CHHATTISGARH,Post Graduate
514,Kanaiyalal Bachubhai Kishori,DAHOD (ST),BJP,0,0,2 Lac+,GUJARAT,Graduate Professional
515,Rajesh Narasingrao Patil,CHANDGAD,NCP,0,3 Crore+,19 Lac+,MAHARASHTRA,Graduate Professional
516,Jagdish Devda,MALHARGARH (SC),BJP,0,4 Crore+,14 Lac+,MADHYAPRADESH,Post Graduate
517,Sashi Kanta Das,RAHA (SC),INC,0,0,15 Lac+,ASSAM,12th Pass
518,Naresh Yadav,MEHRAULI,AAP,2,26 Crore+,1 Crore+,DELHI,Graduate Professional
519,Sanjay Kumar Tiwari,BUXAR,INC,8,7 Crore+,30 Lac+,BIHAR,Graduate
520,Jaikishan,GHAZIPUR,SP,0,0,0,UTTARPRADESH,Graduate
521,Snehangini Chhuria,ATTABIRA,BJD,1,1 Crore+,32 Lac+,ODISHA,Post Graduate
522,Shyam Barde,PANSEMAL (ST),BJP,0,63 Lac+,6 Lac+,MADHYAPRADESH,Post Graduate
523,Mohd Abdul Nasir,LILONG,JD(U),0,1 Crore+,47 Lac+,MANIPUR,Post Graduate
524,Ram Murti Verma,TANDA,SP,3,5 Crore+,1 Crore+,UTTARPRADESH,12th Pass
525,Nalin Soren,SIKARIPARA (ST),JMM,2,2 Crore+,57 Lac+,JHARKHAND,12th Pass
526,Ramesh Mendola,INDORE-2,BJP,2,2 Crore+,29 Lac+,MADHYAPRADESH,Post Graduate
527,Sreerupa Mitra Chaudhury(Nirbhoy Didi),ENGLISH BAZAR,BJP,2,0,4 Lac+,WESTBENGAL,Post Graduate
528,Chandra Sekhara Reddy Dwarampudi,KAKINADA CITY,YSRCP,0,42 Crore+,21 Crore+,ANDHRAPRADESH,12th Pass
529,Birajit Sinha,KAILASHAHAR,INC,3,2 Crore+,12 Lac+,TRIPURA,12th Pass
530,Ramesh Chandra Jena,SANAKHEMUNDI,INC,51,1 Crore+,0,ODISHA,12th Pass
531,Ajay Arjun Singh,CHURHAT,INC,2,39 Crore+,60 Lac+,MADHYAPRADESH,Post Graduate
532,R. Ashoka,PADMANABANAGAR,BJP,1,87 Crore+,9 Crore+,KARNATAKA,Graduate
533,Ashish Sharma,HAMIRPUR,IND,0,13 Crore+,48 Lac+,HIMACHALPRADESH,Graduate Professional
534,Pramod Kumar,MOTIHARI,BJP,4,0,5 Lac+,BIHAR,Graduate Professional
535,Akhruzzaman,RAGHUNATHGANJ,AITC,1,2 Crore+,49 Thou+,WESTBENGAL,Graduate Professional
536,Shakuntla Khatak,KALANAUR (SC),INC,0,3 Crore+,32 Lac+,HARYANA,Graduate
537,Sankar Ghosh,SILIGURI,BJP,2,0,28 Lac+,WESTBENGAL,Doctorate
538,H. K. Patil,GADAG,INC,2,21 Crore+,3 Crore+,KARNATAKA,Graduate Professional
539,Pratima Bagri,RAIGAON (SC),BJP,0,6 Crore+,48 Lac+,MADHYAPRADESH,Post Graduate
540,Nikhil Ranjan Dey,COOCHBEHAR DAKSHIN,BJP,4,0,3 Lac+,WESTBENGAL,12th Pass
541,Gana Venkata Reddy Naidu Pethakamsetti (Gana Babu),VISAKHAPATNAM WEST,TDP,0,25 Crore+,93 Lac+,ANDHRA PRADESH,10th Pass
542,Honchun Ngandam,PONGCHAO WAKKA,BJP,0,6 Crore+,0,ARUNACHALPRADESH,Graduate
543,Nuklutoshi,ARKAKONG (ST),NPP,0,1 Crore+,10 Lac+,NAGALAND,Graduate
544,Tapan Dasgupta,SAPTAGRAM,AITC,0,1 Crore+,4 Lac+,WESTBENGAL,Graduate
545,Gulsan Mullick,PANCHLA,AITC,0,0,9 Lac+,WESTBENGAL,12th Pass
546,Dharmpal Singh,AONLA,BJP,1,2 Crore+,0,UTTARPRADESH,Post Graduate
547,Chauhan Shamajibhai Bhimajibhai,CHOTILA,BJP,0,3 Crore+,30 Lac+,GUJARAT,10th Pass
548,Chouhan Nagar Singh,ALIRAJPUR (ST),BJP,1,4 Crore+,6 Lac+,MADHYAPRADESH,Graduate
549,Thottathil Ravindran,KOZHIKODE NORTH,CPI(M),0,4 Crore+,1 Lac+,KERALA,10th Pass
550,A. Namassivayam,MANNADIPET,BJP,0,25 Crore+,4 Crore+,PUDUCHERRY,Others
551,Umesh Kumar,KHANPUR,IND,14,54 Crore+,2 Crore+,UTTARAKHAND,Graduate Professional
552,Yogendra Upadhyaya,AGRA SOUTH,BJP,4,4 Crore+,0,UTTARPRADESH,Post Graduate
553,Asima Patra,DHANEKHALI (SC),AITC,0,84 Lac+,0,WESTBENGAL,12th Pass
554,Vijayadharani S,VILAVANCODE,INC,8,9 Crore+,2 Crore+,TAMILNADU,Graduate Professional
555,Diya Kumari,VIDHYADHAR NAGAR,BJP,0,19 Crore+,0,RAJASTHAN,Others
556,Darshan Singh,KARAULI,BJP,0,1 Crore+,4 Lac+,RAJASTHAN,8th Pass
557,Pargat Singh Powar,JALANDHAR CANTT,INC,0,3 Crore+,5 Lac+,PUNJAB,Graduate
558,Misbahul Islam Laskar,BARKHOLA,INC,0,47 Lac+,7 Lac+,ASSAM,Graduate Professional
559,Kuldeep Kumar,KONDLI,AAP,0,26 Lac+,0,DELHI,12th Pass
560,Laxman Munda,BONAI,CPI(M),14,30 Lac+,0,ODISHA,Graduate
561,Bholaram Sahu,KHUJJI,INC,0,1 Crore+,3 Lac+,CHHATTISGARH,8th Pass
562,Terash Gowala,DULIAJAN,BJP,0,65 Lac+,50 Lac+,ASSAM,Graduate
563,Ram Vichar Netam,RAMANUJGANJ (ST),BJP,0,6 Crore+,49 Lac+,CHHATTISGARH,10th Pass
564,Aditya Thackeray,WORLI,SHS,0,17 Crore+,0,MAHARASHTRA,Graduate Professional
565,Abhijeet Singh,BITHOOR,BJP,5,6 Crore+,50 Lac+,UTTARPRADESH,Graduate
566,Suchi,BIJNOR,BJP,0,3 Crore+,6 Lac+,UTTARPRADESH,Post Graduate
567,Aruna Devi,WARSALIGANJ,BJP,1,0,48 Lac+,BIHAR,10th Pass
568,Manoj Tigga,MADARIHAT (ST),BJP,7,32 Lac+,16 Lac+,WESTBENGAL,Graduate
569,Rachamallu Siva Prasad Reddy,PRODDATUR,YSRCP,3,3 Crore+,2 Crore+,ANDHRAPRADESH,Graduate
570,Ritesh Kumar Gupta,MORADABAD NAGAR,BJP,0,9 Crore+,84 Lac+,UTTARPRADESH,12th Pass
571,Mohammed Moquim,BARABATI-CUTTACK,INC,13,17 Crore+,18 Lac+,ODISHA,Graduate Professional
572,Hansraj Meena,SAPOTRA (ST),BJP,0,3 Crore+,1 Crore+,RAJASTHAN,Graduate Professional
573,Dattatray Vithoba Bharane,INDAPUR,NCP,0,32 Crore+,0,MAHARASHTRA,12th Pass
574,Jennifer Monserrate,TALEIGAO,BJP,1,48 Crore+,6 Crore+,GOA,12th Pass
575,Ram Chandra Prasad,HAYAGHAT,BJP,2,0,0,BIHAR,Doctorate
576,Dharmraj Singh Yadav,BARABANKI,SP,3,2 Crore+,0,UTTARPRADESH,Graduate Professional
577,Ashok Ishwardas Rohani,JABALPUR CANTT.,BJP,0,4 Crore+,1 Crore+,MADHYAPRADESH,12th Pass
578,Jolle Shashikala Annasaheb,NIPPANI,BJP,1,52 Crore+,22 Crore+,KARNATAKA,10th Pass
579,Rameshbhai Narandas Mistry,BHARUCH,BJP,2,1 Crore+,0,GUJARAT,10th Pass
580,Pitram Singh Kala,PILANI (SC),INC,0,1 Crore+,28 Lac+,RAJASTHAN,Post Graduate
581,Dharam Singh Chhoker,SAMALKHA,INC,0,1 Crore+,0,HARYANA,10th Pass
582,Charles Marngar,MAWHATI (ST),INC,0,2 Crore+,9 Lac+,MEGHALAYA,8th Pass
583,Brijendra Singh Ola,JHUNJHUNU,INC,0,15 Crore+,3 Crore+,RAJASTHAN,Post Graduate
584,Arun Shankar Prasad,KHAJAULI,BJP,4,2 Crore+,12 Lac+,BIHAR,Post Graduate
585,Yallareddy Gari Balanagi Reddy,MANTRALAYAM,YSRCP,1,2 Crore+,23 Lac+,ANDHRAPRADESH,10th Pass
586,Shazil Islam Ansari,BHOJIPURA,SP,2,9 Crore+,28 Lac+,UTTARPRADESH,Graduate Professional
587,Devendra Gangadharrao Fadnavis,NAGPUR SOUTH WEST,BJP,4,8 Crore+,62 Lac+,MAHARASHTRA,Graduate Professional
588,K. Raghavendra Basavaraj Hitnal,KOPPAL,INC,1,14 Crore+,11 Crore+,KARNATAKA,12th Pass
589,Prithviraj Chavan,KARAD SOUTH,INC,0,16 Crore+,5 Lac+,MAHARASHTRA,Post Graduate
590,Kiran Choudhry,TOSHAM,INC,0,51 Crore+,69 Lac+,HARYANA,Graduate Professional
591,Virendra Kumar,JHABRERA (SC),INC,0,85 Lac+,1 Lac+,UTTARAKHAND,Graduate
592,Vijay Kumar,SHEIKHPURA,RJD,7,6 Crore+,76 Lac+,BIHAR,Graduate
593,Adv. Mathew T Thomas,THIRUVALLA,JD(S),0,2 Crore+,0,KERALA,Graduate Professional
594,A.Bannari,BHAVANISAGAR (SC),AIADMK,0,25 Lac+,11 Lac+,TAMILNADU,Graduate
595,Adv. Sunny Joseph,PERAVOOR,INC,0,87 Lac+,51 Lac+,KERALA,Graduate Professional
596,Adhiraj Mohan Panigrahi,KHARIAR,INC,4,2 Crore+,51 Lac+,ODISHA,12th Pass
597,Mopuragundu Thippeswamy,MADAKASIRA,YSRCP,0,15 Crore+,6 Crore+,ANDHRAPRADESH,Post Graduate
598,Jethanand Vyas,BIKANER WEST,BJP,4,1 Crore+,0,RAJASTHAN,Graduate
599,Ankur Tiwari,KHALILABAD,BJP,0,6 Crore+,1 Crore+,UTTARPRADESH,Graduate
600,Raj Vanshi Mahto,CHERIA - BARIARPUR,RJD,0,3 Crore+,1 Lac+,BIHAR,10th Pass
601,Dr. Ratna De Nag,PANDUA,AITC,0,3 Crore+,0,WESTBENGAL,Graduate Professional
602,Vipin Jain,MANDSOUR,INC,0,2 Crore+,0,MADHYAPRADESH,10th Pass
603,Kanchan Mukesh Tanve,KHANDWA (SC),BJP,0,26 Lac+,1 Lac+,MADHYAPRADESH,12th Pass
604,Devesh Kant Singh,GORIAKOTHI,BJP,0,3 Crore+,56 Lac+,BIHAR,Graduate
605,Dr. Kuberbhai Mansukhbhai Dindor,SANTRAMPUR (ST),BJP,0,2 Crore+,53 Lac+,GUJARAT,Doctorate
606,Muttamsetti Srinivasa Rao,BHIMLI,YSRCP,0,35 Crore+,5 Crore+,ANDHRAPRADESH,12th Pass
607,Ashok Kumar Rana,DHAMPUR,BJP,0,10 Crore+,59 Lac+,UTTARPRADESH,12th Pass
608,Anilrao Kaljerao Babar,KHANPUR,SHS,0,6 Crore+,2 Crore+,MAHARASHTRA,Graduate
609,Nityananda Sahoo,BASTA,BJD,0,0,4 Lac+,ODISHA,10th Pass
610,Ganesh Gaonkar,SANVORDEM,BJP,0,19 Crore+,4 Crore+,GOA,Graduate
611,Veersingh Bhuriya,THANDLA (ST),INC,0,88 Lac+,3 Lac+,MADHYAPRADESH,12th Pass
612,Rajendra Singh Bhandari,BADRINATH,INC,0,98 Lac+,10 Lac+,UTTARAKHAND,Post Graduate
613,Raju Jaywantrao Awale,HATKANANGLE (SC),INC,0,10 Crore+,1 Crore+,MAHARASHTRA,Graduate
614,Rajesh Udesing Padavi,SHAHADA (ST),BJP,1,3 Crore+,11 Lac+,MAHARASHTRA,Graduate
615,Ramchandra Singh,MANIKA (ST),INC,0,1 Crore+,27 Lac+,JHARKHAND,Graduate
616,Mangesh Ramesh Chavan,CHALISGAON,BJP,1,16 Crore+,7 Crore+,MAHARASHTRA,12th Pass
617,Pabba Ram Bishnoi,PHALODI,BJP,0,1 Crore+,6 Lac+,RAJASTHAN,Post Graduate
618,Rukbanur Rahman,CHAPRA,AITC,0,34 Lac+,0,WESTBENGAL,Post Graduate
619,Oommen Chandy,PUTHUPPALLY,INC,4,4 Crore+,31 Lac+,KERALA,Graduate Professional
620,Swarna Kamal Saha,ENTALLY,AITC,0,10 Crore+,0,WESTBENGAL,Graduate Professional
621,Muhammed Muhassin,PATTAMBI,CPI,0,67 Lac+,29 Lac+,KERALA,Graduate Professional
622,Sarita,ETAWAH,BJP,0,3 Crore+,12 Lac+,UTTARPRADESH,Graduate
623,Chander Kumar,JAWALI,INC,0,0,28 Lac+,HIMACHALPRADESH,Post Graduate
624,Shashi Bhushan Hajari,KUSHESHWAR ASTHAN (SC),JD(U),1,1 Crore+,1 Lac+,BIHAR,12th Pass
625,Rashmi Varma,NARKATIAGANJ,BJP,2,1 Crore+,4 Lac+,BIHAR,Graduate
626,Aihole Duryodhan Mahalingappa,RAYBAG (SC),BJP,0,14 Crore+,1 Crore+,KARNATAKA,10th Pass
627,Jothi. O,CHEYYAR,DMK,3,63 Lac+,9 Lac+,TAMILNADU,Graduate
628,Siva.V.Meyyanathan,ALANGUDI,DMK,29,1 Crore+,12 Lac+,TAMILNADU,Post Graduate
629,Devyani Suhas Pharande,NASHIK (CENTRAL),BJP,0,7 Crore+,9 Lac+,MAHARASHTRA,Post Graduate
630,Brij Bhushan Gairola,DOIWALA,BJP,0,1 Crore+,0,UTTARAKHAND,Post Graduate
631,Amit Kumar Yadav S/O Chitranjan Yadav,BARKATHA,IND,0,1 Crore+,41 Lac+,JHARKHAND,Graduate
632,Antapurkar Raosaheb Jayvanta,DEGLUR (SC),INC,0,0,21 Lac+,MAHARASHTRA,12th Pass
633,Chandana Bauri,SALTORA (SC),BJP,0,0,0,WESTBENGAL,10th Pass
634,Kumar Uttamchand Ailani,ULHASNAGAR,BJP,2,27 Crore+,10 Crore+,MAHARASHTRA,10th Pass
635,Sitaram,ATELI,BJP,0,3 Crore+,21 Lac+,HARYANA,10th Pass
636,Harish Janartha,SHIMLA,INC,1,4 Crore+,30 Lac+,HIMACHALPRADESH,Graduate
637,Prabhash Kumar,SANDI (SC),BJP,0,2 Crore+,1 Lac+,UTTARPRADESH,10th Pass
638,Vivek Vicky Patel,WARASEONI,INC,0,0,0,MADHYAPRADESH,Post Graduate
639,Giri.M.P,CHENGAM (SC),DMK,0,1 Crore+,29 Lac+,TAMILNADU,12th Pass
640,Nagi Reddy Tippala,GAJUWAKA,YSRCP,0,16 Crore+,23 Lac+,ANDHRAPRADESH,10th Pass
641,Siddhartha Bhattacharya,GAUHATI EAST,BJP,0,8 Crore+,3 Crore+,ASSAM,Post Graduate
642,Suthar Nimishaben Manharsinh,MORVA HADAF (ST),BJP,0,56 Lac+,0,GUJARAT,12th Pass
643,Arunsinh Ajitsinh Rana,VAGRA,BJP,0,0,61 Lac+,GUJARAT,10th Pass
644,Amit Shah,ELLISBRIDGE,BJP,1,3 Crore+,0,GUJARAT,Graduate Professional
645,Kuldeep Singh Dhaliwal,AJNALA,AAP,1,1 Crore+,36 Lac+,PUNJAB,10th Pass
646,Dr. Kiran Yamaji Lahamate,AKOLE,NCP,0,52 Lac+,17 Lac+,MAHARASHTRA,Graduate Professional
647,Samarjit Singh,BHINMAL,INC,0,7 Crore+,60 Lac+,RAJASTHAN,Doctorate
648,Lakhendra Kumar Raushan,PATEPUR (SC),BJP,0,1 Crore+,9 Lac+,BIHAR,Graduate
649,Joyel Murmu,HABIBPUR (ST),BJP,0,32 Lac+,0,WESTBENGAL,8th Pass
650,Rohit Thakur,JUBBAL-KOTKHAI,INC,0,10 Crore+,26 Lac+,HIMACHALPRADESH,Graduate
651,Mina Rani Sarkar,BADHARGHAT (SC),BJP,0,24 Lac+,0,TRIPURA,Graduate
652,Anil Kumar Sahani,KURHANI,RJD,1,1 Crore+,15 Lac+,BIHAR,Doctorate
653,Snehasis Chakraborty,JANGIPARA,AITC,1,0,2 Lac+,WESTBENGAL,Post Graduate
654,Yeduguri Sandinti Jagan Mohan Reddy,PULIVENDLA,YSRCP,38,0,1 Crore+,ANDHRAPRADESH,Graduate
655,Kona Raghupathi,BAPATLA,YSRCP,0,28 Crore+,83 Lac+,ANDHRAPRADESH,Graduate
656,Samaram,PINDWARA ABU (ST),BJP,0,1 Crore+,8 Lac+,RAJASTHAN,8th Pass
657,Embalam Selvam Alias R.Selvam,MANAVELY,BJP,5,3 Crore+,1 Crore+,PUDUCHERRY,12th Pass
658,Mahant Balak Nath,TIJARA,BJP,1,0,0,RAJASTHAN,12th Pass
659,Amrinder Singh Raja Warring,GIDDERBAHA,INC,0,15 Crore+,4 Crore+,PUNJAB,10th Pass
660,Ebenezer. J.J. Alias John Ebenezer.J,DR.RADHAKRISHNAN NAGAR,DMK,0,15 Lac+,0,TAMILNADU,Post Graduate
661,Rahim Khan,BIDAR,INC,0,83 Crore+,5 Crore+,KARNATAKA,12th Pass
662,Dipak Barman,FALAKATA (SC),BJP,8,88 Lac+,29 Lac+,WESTBENGAL,Post Graduate
663,Sushil Kumar Tiwari (Indu Bhaiya),PANAGAR,BJP,0,23 Crore+,2 Crore+,MADHYAPRADESH,Graduate
664,Murari Prasad Gautam,CHENARI (SC),INC,1,17 Lac+,0,BIHAR,Graduate
665,Awadh Bihari Chaudhary,SIWAN,RJD,2,2 Crore+,19 Lac+,BIHAR,Graduate
666,Chandra Prakash,FATEHPUR,SP,0,2 Crore+,23 Lac+,UTTARPRADESH,Graduate Professional
667,Priyank Kharge,CHITTAPUR (SC),INC,9,16 Crore+,28 Lac+,KARNATAKA,10th Pass
668,Dr. Chintamani Malviya,ALOT (SC),BJP,1,29 Crore+,1 Crore+,MADHYAPRADESH,Doctorate
669,Somenath Shyam Ichini,JAGATDAL,AITC,6,2 Crore+,10 Lac+,WESTBENGAL,Graduate
670,Pratap Keshari Deb,AUL,BJD,0,6 Crore+,3 Lac+,ODISHA,Graduate
671,Lal Babu Prasad Gupta,CHIRAIA,BJP,0,1 Crore+,1 Lac+,BIHAR,Literate
672,Kultar Singh Sandhwan,KOTKAPURA,AAP,4,44 Lac+,0,PUNJAB,Graduate Professional
673,Laxmi Rajwade,BHATGAON,BJP,0,1 Crore+,28 Lac+,CHHATTISGARH,12th Pass
674,Basavaraj Rayareddi,YELBURGA,INC,0,0,4 Crore+,KARNATAKA,Graduate Professional
675,Nitin Arjun Pawar,KALWAN (ST),NCP,0,5 Crore+,0,MAHARASHTRA,Graduate
676,Dharmana Krishna Das,NARASANNAPETA,YSRCP,0,2 Crore+,0,ANDHRAPRADESH,Graduate
677,Eng. Brajesh Katheriya,KISHNI (SC),SP,0,0,30 Lac+,UTTARPRADESH,Graduate
678,Gurdev Singh Dev Maan,NABHA (SC),AAP,1,53 Lac+,0,PUNJAB,12th Pass
679,Kailash Chandra Gahtori,CHAMPAWAT,BJP,0,10 Crore+,0,UTTARAKHAND,Graduate
680,Gopal Rai,BABARPUR,AAP,1,90 Lac+,0,DELHI,Post Graduate
681,C N Balakrishna,SHRAVANABELAGOLA,JD(S),0,9 Crore+,3 Crore+,KARNATAKA,Graduate
682,Suman Haripriya,HAJO,BJP,0,3 Crore+,0,ASSAM,Post Graduate
683,Pradip Sarkar,ABHAYAPURI SOUTH (SC),INC,0,3 Crore+,0,ASSAM,12th Pass
684,Khageswar Roy,RAJGANJ (SC),AITC,1,63 Lac+,8 Lac+,WESTBENGAL,12th Pass
685,Bahin Ramsiya Bharti,MALHARA,INC,0,36 Lac+,1 Lac+,MADHYAPRADESH,12th Pass
686,Naseer Ahmad Khan,CHAMRAUA,SP,30,4 Crore+,0,UTTARPRADESH,Post Graduate
687,Kishor Dhansing Patil,PACHORA,SHS,3,12 Crore+,10 Crore+,MAHARASHTRA,12th Pass
688,Dr. Raghavendra Sharma,BITHARI CHAINPUR,BJP,0,17 Crore+,3 Crore+,UTTARPRADESH,Post Graduate
689,Rameshbhai Virjibhai Tilala,RAJKOT SOUTH,BJP,0,175 Crore+,8 Crore+,GUJARAT,5th Pass
690,Susanta Kumar Behera,CHHENDIPADA,BJD,0,11 Crore+,70 Lac+,ODISHA,Graduate
691,Hariom,AMANPUR,BJP,0,2 Crore+,4 Lac+,UTTARPRADESH,12th Pass
692,Dinesh Gundu Rao,GANDHINAGAR,INC,0,48 Crore+,6 Crore+,KARNATAKA,Graduate Professional
693,Krishna Gaur,GOVINDPURA,BJP,0,10 Crore+,59 Lac+,MADHYAPRADESH,Post Graduate
694,Nagendra Singh,GURH,BJP,0,4 Crore+,9 Lac+,MADHYAPRADESH,Graduate Professional
695,D K Shivakumar,KANAKAPURA,INC,19,1413 Crore+,265 Crore+,KARNATAKA,Post Graduate
696,Tapan Chatterjee,PURBASTHALI UTTAR,AITC,3,1 Crore+,14 Lac+,WESTBENGAL,12th Pass
697,Bijendra Prasad Yadav,SUPAUL,JD(U),0,2 Crore+,0,BIHAR,12th Pass
698,Uday B. Garudachar,CHICKPET,BJP,2,241 Crore+,48 Crore+,KARNATAKA,Graduate Professional
699,Bansode Sanjay Baburao,UDGIR (SC),NCP,0,2 Crore+,0,MAHARASHTRA,12th Pass
700,Jai Prakash Anchal,BAIRIA,SP,1,2 Crore+,2 Lac+,UTTARPRADESH,Post Graduate
701,G.Sendhil Kumar,VANIYAMBADI,AIADMK,1,2 Crore+,66 Lac+,TAMILNADU,Graduate Professional
702,G.Arunkumar,KAVUNDAMPALAYAM,AIADMK,0,3 Crore+,95 Lac+,TAMILNADU,10th Pass
703,Mopi Mihu,ANINI,BJP,0,2 Crore+,0,ARUNACHALPRADESH,5th Pass
704,Furkan Ahmad,PIRANKALIYAR,INC,4,2 Crore+,6 Lac+,UTTARAKHAND,10th Pass
705,Hari Singh Raghuwanshi (Badda),BASODA,BJP,0,8 Crore+,4 Lac+,MADHYAPRADESH,Graduate
706,A.M.Munirathinam,SHOLINGHUR,INC,2,70 Crore+,50 Crore+,TAMILNADU,10th Pass
707,Anand Kumar,KAISERGANJ,SP,0,1 Crore+,0,UTTARPRADESH,Graduate Professional
708,Sanjaysinh Vijaysinh Mahida,MAHUDHA,BJP,0,4 Crore+,74 Lac+,GUJARAT,10th Pass
709,A. Manju,ARAKALGUD,JD(S),0,37 Crore+,4 Crore+,KARNATAKA,Graduate Professional
710,Dr. Dayaram Parmar,KHERWARA (ST),INC,0,4 Crore+,14 Thou+,RAJASTHAN,Doctorate
711,Jagat Singh Negi,KINNAUR (ST),INC,1,3 Crore+,32 Lac+,HIMACHALPRADESH,Graduate Professional
712,Sukhwinder Singh Kotli,ADAMPUR (SC),INC,0,37 Lac+,18 Thou+,PUNJAB,10th Pass
713,Amzath Basha Shaik Bepari,KADAPA,YSRCP,3,0,16 Lac+,ANDHRAPRADESH,12th Pass
714,Surjya Narayan Patro,DIGAPAHANDI,BJD,0,16 Crore+,0,ODISHA,Graduate Professional
715,Amv.Prabhakara Raja,VIRUGAMPAKKAM,DMK,6,2 Crore+,24 Lac+,TAMILNADU,Post Graduate
716,Babasaheb Mohanrao Patil,AHMEDPUR,NCP,0,6 Crore+,75 Crore+,MAHARASHTRA,Graduate
717,Sukhvinder Singh,NADAUN,INC,4,7 Crore+,22 Lac+,HIMACHALPRADESH,Post Graduate
718,T N Mannen,IMPUR (ST),NDPP,0,15 Crore+,0,NAGALAND,Post Graduate
719,Daljit Singh Grewal,LUDHIANA EAST,AAP,3,0,14 Lac+,PUNJAB,10th Pass
720,Ramendu Sinharay,TARAKESWAR,AITC,4,3 Crore+,9 Lac+,WESTBENGAL,Graduate
721,Chau Zingnu Namchoom,NAMSAI,BJP,0,27 Crore+,98 Lac+,ARUNACHALPRADESH,Graduate
722,Mohanbhai Dhanjibhai Dhodiya,MAHUVA (ST),BJP,0,2 Crore+,13 Lac+,GUJARAT,8th Pass
723,Anita Bhadel,AJMER SOUTH (SC),BJP,0,3 Crore+,21 Lac+,RAJASTHAN,Post Graduate
724,Rambilash Kamat,PIPRA,JD(U),3,53 Lac+,11 Lac+,BIHAR,Graduate
725,Kamalkant,DIDARGANJ,SP,0,4 Crore+,20 Lac+,UTTARPRADESH,Post Graduate
726,Ajay Vinayak Choudhari,SHIVADI,SHS,1,4 Crore+,39 Lac+,MAHARASHTRA,10th Pass
727,Mohammad Israil Mansuri,KANTI,RJD,2,95 Lac+,20 Lac+,BIHAR,12th Pass
728,Harshwardhan Chauhan,SHILLAI,INC,1,13 Crore+,45 Lac+,HIMACHALPRADESH,Graduate Professional
729,Jhabar Singh Kharra,SRIMADHOPUR,BJP,1,2 Crore+,0,RAJASTHAN,Graduate
730,Kalpeshbhai Ashabhai Parmar,MATAR,BJP,0,1 Crore+,0,GUJARAT,Literate
731,Anil Kumar Kaile,PAMARRU,YSRCP,2,0,29 Lac+,ANDHRAPRADESH,Graduate Professional
732,Madhusudan Bhattacharya,MEMARI,AITC,2,78 Lac+,0,WESTBENGAL,Post Graduate
733,Dr. Prabhuram Choudhary,SANCHI (SC),BJP,0,11 Crore+,99 Lac+,MADHYAPRADESH,Graduate Professional
734,Allamprabhu Patil,GULBARGA DAKSHIN,INC,0,6 Crore+,1 Crore+,KARNATAKA,Graduate
735,Fatesinh Vakhatsinh Chauhan,KALOL-PANCHMAHALS,BJP,0,0,6 Lac+,GUJARAT,10th Pass
736,Mihir Kanti Shome,UDHARBOND,BJP,0,42 Lac+,1 Lac+,ASSAM,10th Pass
737,Kamal Marskole,BARGHAT (ST),BJP,0,1 Crore+,9 Lac+,MADHYAPRADESH,Graduate
738,Swami Omvesh,CHANDPUR,SP,6,5 Crore+,60 Lac+,UTTARPRADESH,Post Graduate
739,Pathan Lal Jamatia,AMPINAGAR (ST),Tipra Motha Party,0,18 Lac+,3 Lac+,TRIPURA,Post Graduate
740,Meda Venkata Mallikarjuna Reddy,RAJAMPET,YSRCP,0,50 Crore+,10 Crore+,ANDHRAPRADESH,Graduate
741,Devendra Singh,KASGANJ,BJP,2,2 Crore+,0,UTTARPRADESH,10th Pass
742,Chetan Vitthal Tupe,HADAPSAR,NCP,2,40 Crore+,4 Crore+,MAHARASHTRA,10th Pass
