ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
1889,Latabai Chandrakant Sonawane,CHOPDA (ST),SHS,0,18 Crore+,5 Lac+,MAHARASHTRA,12th Pass
1890,Rahul Suresh Narwekar,COLABA,BJP,2,38 Crore+,20 Crore+,MAHARASHTRA,Graduate Professional
1891,Vinod Bhiva Nikole,DAHANU (ST),CPI(M),6,51 Thou+,,MAHARASHTRA,12th Pass
1892,Kadam Yogeshdada Ramdas,DAPOLI,SHS,0,11 Crore+,4 Crore+,MAHARASHTRA,Graduate
1893,Balwant Baswant Wankhade,DARYAPUR (SC),INC,1,1 Crore+,4 Lac+,MAHARASHTRA,12th Pass
1894,Rahul Subhashrao Kul,DAUND,BJP,7,4 Crore+,91 Lac+,MAHARASHTRA,Graduate Professional
1895,Antapurkar Raosaheb Jayvanta,DEGLUR (SC),INC,0,0,21 Lac+,MAHARASHTRA,12th Pass
1896,Saroj Babulal Ahire,DEOLALI (SC),NCP,0,1 Crore+,18 Lac+,MAHARASHTRA,10th Pass
1897,Ranjit Prataprao Kamble,DEOLI,INC,0,18 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
1898,Chaudhary Manisha Ashok,DHAISAR,BJP,0,4 Crore+,13 Lac+,MAHARASHTRA,Graduate
1899,Adsad Pratap Arunbhau,DHAMANGAON RAILWAY,BJP,3,4 Crore+,,MAHARASHTRA,Graduate Professional
1900,Gaikwad Varsha Eknath,DHARAVI (SC),INC,1,4 Crore+,22 Lac+,MAHARASHTRA,Post Graduate
1901,Shah Faruk Anwar,DHULE CITY,All India Majlis-E-Ittehadul Muslimeen,7,29 Lac+,,MAHARASHTRA,10th Pass
1902,Kunalbaba Rohidas Patil,DHULE RURAL,INC,1,42 Crore+,39 Crore+,MAHARASHTRA,Graduate Professional
1903,Rathod Sanjay Dulichand,DIGRAS,SHS,4,8 Crore+,2 Crore+,MAHARASHTRA,Graduate Professional
1904,Zirwal Narhari Sitaram,DINDORI (ST),NCP,0,3 Crore+,35 Lac+,MAHARASHTRA,12th Pass
1905,Sunil Prabhu,DINDOSHI,SHS,0,0,45 Lac+,MAHARASHTRA,10th Pass
1906,Ravindra Dattatray Chavan,DOMBIVALI,BJP,3,9 Crore+,2 Crore+,MAHARASHTRA,12th Pass
1907,Chimanrao Rupchand Patil,ERANDOL,SHS,0,22 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
1908,Deorao Madguji Holi,GADCHIROLI (ST),BJP,0,2 Crore+,38 Lac+,MAHARASHTRA,Graduate Professional
1909,Ratnakar Manikrao Gutte,GANGAKHED,Rashtriya Samaj Paksha,8,149 Crore+,32 Crore+,MAHARASHTRA,8th Pass
1910,Bamb Prashant Bansilal,GANGAPUR,BJP,0,9 Crore+,3 Crore+,MAHARASHTRA,Post Graduate
1911,Rajeshbhaiyya Tope,GANSAVANGI,NCP,0,53 Crore+,14 Crore+,MAHARASHTRA,Graduate Professional
1912,Laxman Madhavrao Pawar,GEORAI,BJP,1,5 Crore+,97 Lac+,MAHARASHTRA,Graduate Professional
1913,Ram Kadam,GHATKOPAR  WEST,BJP,2,46 Crore+,14 Crore+,MAHARASHTRA,12th Pass
1914,Parag Shah,GHATKOPAR EAST,BJP,0,500 Crore+,,MAHARASHTRA,Graduate
1915,Agrawal Vinod Santoshkumar,GONDIA,IND,2,0,36 Lac+,MAHARASHTRA,12th Pass
1916,Vidya Jaiprakash Thakur,GOREGAON,BJP,0,17 Crore+,4 Crore+,MAHARASHTRA,8th Pass
1917,Bhaskar Bhaurao Jadhav,GUHAGAR,SHS,0,17 Crore+,5 Crore+,MAHARASHTRA,10th Pass
1918,Chetan Vitthal Tupe,HADAPSAR,NCP,2,40 Crore+,4 Crore+,MAHARASHTRA,10th Pass
1919,Jawalgaonkar Madhavrao Nivruttirao Patil,HADGAON,INC,0,2 Crore+,15 Lac+,MAHARASHTRA,Graduate
1920,Raju Jaywantrao Awale,HATKANANGLE (SC),INC,0,10 Crore+,1 Crore+,MAHARASHTRA,Graduate
1921,Samir Trimbakrao Kunawar,HINGANGHAT,BJP,0,10 Crore+,30 Lac+,MAHARASHTRA,12th Pass
1922,Meghe Sameer Dattatraya,HINGNA,BJP,0,159 Crore+,63 Crore+,MAHARASHTRA,Graduate
1923,Tanhaji Sakharamji Mutkule,HINGOLI,BJP,1,2 Crore+,95 Lac+,MAHARASHTRA,10th Pass
1924,Prakashanna Awade,ICHALKARANJI,IND,2,28 Crore+,5 Crore+,MAHARASHTRA,10th Pass
1925,Hiraman Bhika Khoskar,IGATPURI (ST),INC,0,0,1 Crore+,MAHARASHTRA,Literate
1926,Dattatray Vithoba Bharane,INDAPUR,NCP,0,32 Crore+,,MAHARASHTRA,12th Pass
1927,Jayant Rajaram Patil,ISLAMPUR,NCP,0,16 Crore+,,MAHARASHTRA,12th Pass
1928,Kute Sanjay Shriram,JALGAON (JAMOD),BJP,0,6 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
1929,Suresh Damu Bhole,JALGAON CITY,BJP,5,22 Crore+,3 Crore+,MAHARASHTRA,Graduate
1930,Gulabrao Raghunath Patil,JALGAON RURAL,SHS,1,5 Crore+,66 Lac+,MAHARASHTRA,12th Pass
1931,Kailas Kisanrao Gorantyal,JALNA,INC,4,8 Crore+,64 Lac+,MAHARASHTRA,10th Pass
1932,Girish Dattatraya Mahajan,JAMNER,BJP,0,25 Crore+,44 Lac+,MAHARASHTRA,12th Pass
1933,Vikramsinh Balasaheb Sawant,JAT,INC,2,4 Crore+,35 Lac+,MAHARASHTRA,Graduate
1934,Meghana Deepak Sakore Bordikar,JINTUR,BJP,2,19 Crore+,4 Crore+,MAHARASHTRA,Graduate
1935,Ravindra Dattaram Waikar,JOGESHWARI EAST,SHS,4,0,3 Crore+,MAHARASHTRA,Graduate
1936,Atul Vallabh Benke,JUNNAR,NCP,1,16 Crore+,4 Crore+,MAHARASHTRA,Graduate Professional
1937,Mushrif Hasan Miyalal,KAGAL,NCP,3,10 Crore+,96 Lac+,MAHARASHTRA,Graduate
1938,Namita Akshay Mundada,KAIJ (SC),BJP,0,29 Crore+,5 Crore+,MAHARASHTRA,Graduate Professional
1939,Bangar Santosh Laxmanrao,KALAMNURI,SHS,6,92 Lac+,15 Lac+,MAHARASHTRA,5th Pass
1940,Nitin Arjun Pawar,KALWAN (ST),NCP,0,5 Crore+,,MAHARASHTRA,Graduate
1941,Vishwanath Atmaram Bhoir,KALYAN  WEST,SHS,2,1 Crore+,20 Lac+,MAHARASHTRA,Graduate
1942,Ganpat Kalu Gaikwad,KALYAN EAST,BJP,18,63 Crore+,3 Crore+,MAHARASHTRA,5th Pass
1943,Pramod Ratan Patil,KALYAN RURAL,MNS,1,23 Crore+,4 Crore+,MAHARASHTRA,10th Pass
1944,Sawarkar Tekchand Shrawan,KAMTHI,BJP,0,2 Crore+,9 Lac+,MAHARASHTRA,10th Pass
1945,Atul Bhatkhalkar,KANDIVALI EAST,BJP,0,0,37 Lac+,MAHARASHTRA,Graduate
1946,Nitesh Narayan Rane,KANKAVLI,BJP,8,14 Crore+,6 Crore+,MAHARASHTRA,Post Graduate
1947,Udaysing Sardarsing Rajput,KANNAD,SHS,0,4 Crore+,47 Lac+,MAHARASHTRA,Graduate
1948,Balasaheb Alias Shamrao Pandurang Patil,KARAD NORTH,NCP,0,18 Crore+,52 Lac+,MAHARASHTRA,12th Pass
1949,Prithviraj Chavan,KARAD SOUTH,INC,0,16 Crore+,5 Lac+,MAHARASHTRA,Post Graduate
1950,Patni Rajendra Sukhanand,KARANJA,BJP,2,10 Crore+,4 Crore+,MAHARASHTRA,Graduate
1951,Mahendra Sadashiv Thorve,KARJAT,SHS,3,19 Crore+,2 Crore+,MAHARASHTRA,10th Pass
1952,Rohit Pawar,KARJAT JAMKHED,NCP,0,59 Crore+,3 Crore+,MAHARASHTRA,Graduate Professional
1953,Sanjaymama Vitthalrao Shinde,KARMALA,IND,1,52 Crore+,13 Crore+,MAHARASHTRA,Graduate
1954,Pandurang Nivrutti Patil,KARVIR,INC,2,5 Crore+,1 Lac+,MAHARASHTRA,8th Pass
1955,Mukta Shailesh Tilak,KASBA PETH,BJP,2,0,21 Crore+,MAHARASHTRA,Graduate
1956,Anil Deshmukh,KATOL,NCP,8,14 Crore+,4 Crore+,MAHARASHTRA,Post Graduate
1957,Bhimrao Dhondiba Tapkir,KHADAKWASALA,BJP,1,14 Crore+,9 Lac+,MAHARASHTRA,12th Pass
1958,Akash Pandurang Fundkar,KHAMGAON,BJP,1,7 Crore+,70 Lac+,MAHARASHTRA,Graduate Professional
1959,Anilrao Kaljerao Babar,KHANPUR,SHS,0,6 Crore+,2 Crore+,MAHARASHTRA,Graduate
1960,Dilip Dattatray Mohite,KHED ALANDI,NCP,7,12 Crore+,31 Lac+,MAHARASHTRA,10th Pass
1961,Bhimrao Ramjee Keram,KINWAT,BJP,1,1 Crore+,22 Lac+,MAHARASHTRA,10th Pass
1962,Chandrakant Pandit Jadhav,KOLHAPUR NORTH,INC,1,79 Crore+,18 Crore+,MAHARASHTRA,10th Pass
1963,Ruturaj Sanjay Patil,KOLHAPUR SOUTH,INC,0,34 Crore+,17 Crore+,MAHARASHTRA,12th Pass
1964,Ashutosh Ashokrao Kale,KOPARGAON,NCP,2,18 Crore+,88 Lac+,MAHARASHTRA,Post Graduate
1965,Eknath Sambhaji Shinde,KOPRI-PACHPAKHADI,SHS,18,0,3 Crore+,MAHARASHTRA,10th Pass
1966,Mahesh Sambhajiraje Shinde,KOREGAON,SHS,1,22 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
1967,Chandrakant Bachhu Patil,KOTHRUD,BJP,2,5 Crore+,42 Lac+,MAHARASHTRA,Graduate
1968,Vaibhav Vijay Naik,KUDAL,SHS,1,20 Crore+,89 Lac+,MAHARASHTRA,Graduate
1969,Mangesh Anant Kudalkar,KURLA (SC),SHS,0,4 Crore+,87 Lac+,MAHARASHTRA,12th Pass
1970,Amit Vilasrao Deshmukh,LATUR CITY,INC,0,22 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
1971,Dhiraj Vilasrao Deshmukh,LATUR RURAL,INC,0,35 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
1972,Shyamsundar Dagdoji Shinde,LOHA,Peasants And Workers Party of India,0,43 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
1973,Shinde Babanrao Vitthalrao,MADHA,NCP,1,14 Crore+,53 Lac+,MAHARASHTRA,10th Pass
1974,Prakash Rajaram Surve,MAGATHANE,SHS,1,33 Crore+,,MAHARASHTRA,Graduate
1975,Gogawale Bharat Maruti,MAHAD,SHS,1,0,21 Lac+,MAHARASHTRA,8th Pass
1976,Sada Sarvankar,MAHIM,SHS,4,25 Crore+,2 Crore+,MAHARASHTRA,10th Pass
1977,Prakash Sundarrao Solanke,MAJALGAON,NCP,0,11 Crore+,15 Lac+,MAHARASHTRA,Graduate
1978,Mangalprabhat Lodha,MALABAR HILL,BJP,5,441 Crore+,283 Crore+,MAHARASHTRA,Graduate Professional
1979,Aslam Ramzanali Shaikh,MALAD  WEST,INC,7,11 Crore+,41 Lac+,MAHARASHTRA,8th Pass
1980,Mohammed Ismail Abdul Khalique,MALEGAON (CENTRAL),All India Majlis-E-Ittehadul Muslimeen,8,56 Lac+,,MAHARASHTRA,Others
1981,Bhuse Dadaji Dagdu,MALEGAON (OUTER),SHS,1,10 Crore+,72 Lac+,MAHARASHTRA,Others
1982,Ekade Rajesh Panditrao,MALKAPUR,INC,2,1 Crore+,32 Lac+,MAHARASHTRA,12th Pass
1983,Ram Vitthal Satpute,MALSHIRAS (SC),BJP,3,10 Lac+,75 Thou+,MAHARASHTRA,Graduate Professional
1984,Jaykumar Bhagwanrao Gore,MAN,BJP,5,5 Crore+,61 Lac+,MAHARASHTRA,12th Pass
1985,Abu Asim Azmi,MANKHURD SHIVAJINAGAR,SP,12,0,9 Crore+,MAHARASHTRA,Graduate
1986,Sunil Shankarrao Shelke,MAVAL,NCP,0,54 Crore+,5 Crore+,MAHARASHTRA,8th Pass
1987,Geeta Bharat Jain,MEERA BHAYANDAR,IND,2,70 Crore+,11 Crore+,MAHARASHTRA,12th Pass
1988,Sanjay Bhaskar Raymulkar,MEHKAR (SC),SHS,0,1 Crore+,44 Lac+,MAHARASHTRA,10th Pass
1989,Rajkumar Dayaram Patel,MELGHAT (ST),Prahar Janshakti Party,12,2 Crore+,,MAHARASHTRA,Post Graduate
1990,Dr. Suresh (Bhau) Dagadu Khade,MIRAJ (SC),BJP,3,4 Crore+,,MAHARASHTRA,Doctorate
1991,Mane Yashwant Vitthal,MOHOL (SC),NCP,0,12 Crore+,10 Crore+,MAHARASHTRA,Graduate
1992,Devendra Mahadevrao Bhuyar,MORSHI,Swabhimani Paksha,11,29 Lac+,6 Lac+,MAHARASHTRA,12th Pass
1993,Tushar Govindrao Rathod,MUKHED,BJP,0,4 Crore+,49 Lac+,MAHARASHTRA,Graduate Professional
1994,Chandrakant Nimba Patil,MUKTAINAGAR,IND,0,2 Crore+,45 Lac+,MAHARASHTRA,12th Pass
1995,Kotecha Mihir Chandrakant,MULUND,BJP,0,0,15 Crore+,MAHARASHTRA,10th Pass
1996,Amin Patel,MUMBADEVI,INC,2,44 Crore+,8 Crore+,MAHARASHTRA,10th Pass
1997,Awhad Jitendra Satish,MUMBRA-KALWA,NCP,25,47 Crore+,37 Crore+,MAHARASHTRA,Doctorate
1998,Kisan Shankar Kathore,MURBAD,BJP,1,10 Crore+,13 Lac+,MAHARASHTRA,10th Pass
1999,Harish Marotiappa Pimpale,MURTIZAPUR (SC),BJP,0,1 Crore+,28 Lac+,MAHARASHTRA,12th Pass
2000,Vikas Shankarrao Kumbhare,NAGPUR CENTRAL,BJP,9,1 Crore+,9 Lac+,MAHARASHTRA,12th Pass
2001,Krushna Pancham Khopde,NAGPUR EAST,BJP,2,10 Crore+,4 Crore+,MAHARASHTRA,5th Pass
2002,Dr. Nitin Raut,NAGPUR NORTH (SC),INC,4,21 Crore+,4 Crore+,MAHARASHTRA,Doctorate
2003,Mohan Gopalrao Mate,NAGPUR SOUTH,BJP,5,2 Crore+,8 Lac+,MAHARASHTRA,10th Pass
2004,Devendra Gangadharrao Fadnavis,NAGPUR SOUTH WEST,BJP,4,8 Crore+,62 Lac+,MAHARASHTRA,Graduate Professional
2005,Vikas Pandurang Thakre,NAGPUR WEST,INC,25,0,1 Crore+,MAHARASHTRA,Graduate
2006,Rajesh Sambhajirao Pawar,NAIGAON,BJP,2,191 Crore+,32 Crore+,MAHARASHTRA,Graduate Professional
2007,Kshitij Hitendra Thakur,NALASOPARA,Bahujan Vikas Aaghadi,0,63 Crore+,13 Crore+,MAHARASHTRA,Post Graduate
2008,Balaji Devidasrao Kalyankar,NANDED NORTH,SHS,2,1 Crore+,50 Lac+,MAHARASHTRA,12th Pass
2009,Mohanrao Marotrao Hambarde,NANDED SOUTH,INC,0,2 Crore+,13 Lac+,MAHARASHTRA,10th Pass
2010,Suhas Dwarkanath Kande,NANDGAON,SHS,7,11 Crore+,1 Crore+,MAHARASHTRA,Graduate
2011,Vijaykumar Krushnarao Gavit,NANDURBAR (ST),BJP,9,27 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
2012,Seema Mahesh Hiray (Seematai),NASHIK  WEST,BJP,1,20 Crore+,84 Lac+,MAHARASHTRA,Graduate
2013,Devyani Suhas Pharande,NASHIK (CENTRAL),BJP,0,7 Crore+,9 Lac+,MAHARASHTRA,Post Graduate
2014,Rahul Uattamrao Dhikle,NASHIK EAST,BJP,1,7 Crore+,58 Lac+,MAHARASHTRA,Graduate Professional
2015,Naik Shirishkumar Surupsing,NAWAPUR (ST),INC,0,0,30 Lac+,MAHARASHTRA,Graduate
2016,Shankarrao Yashwantrao Gadakh,NEVASA,Krantikari Shetkari Party,4,4 Crore+,5 Lac+,MAHARASHTRA,Graduate
2017,Nilangekar Sambhaji Diliprao Patil,NILANGA,BJP,2,6 Crore+,9 Lac+,MAHARASHTRA,Others
2018,Bankar Diliprao Shankarrao,NIPHAD,NCP,4,68 Crore+,4 Crore+,MAHARASHTRA,Graduate
2019,Chougule Dnyanraj Dhondiram,OMERGA (SC),SHS,0,1 Crore+,87 Lac+,MAHARASHTRA,Post Graduate
2020,Kailas Balasaheb Ghadge Patil,OSMANABAD,SHS,0,79 Lac+,21 Lac+,MAHARASHTRA,12th Pass
2021,Pratap Baburao Sarnaik,OVALA MAJIWADA,SHS,5,143 Crore+,117 Crore+,MAHARASHTRA,10th Pass
2022,Kishor Dhansing Patil,PACHORA,SHS,3,12 Crore+,10 Crore+,MAHARASHTRA,12th Pass
2023,Bhumare Sandipanrao Asaram,PAITHAN,SHS,9,2 Crore+,22 Lac+,MAHARASHTRA,10th Pass
2024,Shrinivas Chintaman Vanga,PALGHAR (ST),SHS,0,72 Lac+,22 Lac+,MAHARASHTRA,Graduate
2025,Kadam Vishwajeet Patangrao,PALUS-KADEGAON,INC,0,0,121 Crore+,MAHARASHTRA,Doctorate
2026,Bhalake Bharat Tukaram,PANDHARPUR,NCP,1,1 Crore+,,MAHARASHTRA,8th Pass
2027,Prashant Ramsheth Thakur,PANVEL,BJP,2,183 Crore+,3 Crore+,MAHARASHTRA,12th Pass
2028,Tanaji Jaywant Sawant,PARANDA,SHS,11,206 Crore+,11 Crore+,MAHARASHTRA,Doctorate
2029,Dr. Rahul Vedprakash Patil,PARBHANI,SHS,2,2 Crore+,55 Lac+,MAHARASHTRA,Graduate Professional
2030,Dhananjay Panditrao Munde,PARLI,NCP,9,23 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
2031,Nilesh Dnyandev Lanke,PARNER,NCP,4,75 Lac+,32 Lac+,MAHARASHTRA,Graduate
2032,Babanrao Dattatrya Yadav(Lonikar),PARTUR,BJP,1,4 Crore+,,MAHARASHTRA,5th Pass
2033,Madhuri Satish Misal,PARVATI,BJP,1,88 Crore+,6 Crore+,MAHARASHTRA,Graduate
2034,Desai Shambhuraj Shivajirao,PATAN,SHS,0,14 Crore+,1 Crore+,MAHARASHTRA,12th Pass
2035,Warpudkar Suresh Ambadasrao,PATHRI,INC,1,0,57 Lac+,MAHARASHTRA,Graduate
2036,Ravisheth Patil,PEN,BJP,0,10 Crore+,19 Lac+,MAHARASHTRA,12th Pass
2037,Dipak Pralhad Chavan,PHALTAN (SC),NCP,1,83 Lac+,69 Lac+,MAHARASHTRA,Post Graduate
2038,Bagde Haribhau Kisanrao,PHOLAMBARI,BJP,3,25 Crore+,1 Crore+,MAHARASHTRA,10th Pass
2039,Anna Dadu Bansode,PIMPRI (SC),NCP,0,2 Crore+,,MAHARASHTRA,10th Pass
2040,Kamble Sunil Dnyandev,PUNE CANTONMENT (SC),BJP,1,3 Crore+,1 Crore+,MAHARASHTRA,8th Pass
2041,Sanjay Chandrakant Jagtap,PURANDAR,INC,7,245 Crore+,13 Lac+,MAHARASHTRA,Post Graduate
2042,Naik Indranil Manohar,PUSAD,NCP,1,4 Crore+,72 Lac+,MAHARASHTRA,Graduate Professional
2043,Abitkar Prakash Anandrao,RADHANAGARI,SHS,1,1 Crore+,40 Lac+,MAHARASHTRA,Graduate
2044,Prajakt Prasadrao Tanpure,RAHURI,NCP,2,6 Crore+,3 Crore+,MAHARASHTRA,Post Graduate
2045,Rajan Prabhakar Salvi,RAJAPUR,SHS,1,0,73 Lac+,MAHARASHTRA,Graduate
2046,Subhash Ramchandrarao Dhote,RAJURA,INC,3,3 Crore+,1 Lac+,MAHARASHTRA,Graduate
2047,Ashok Ramaji Wooike (Uike),RALEGAON (ST),BJP,1,1 Crore+,,MAHARASHTRA,Post Graduate
2048,Ashish Nandkishor Jaiswal,RAMTEK,IND,1,5 Crore+,85 Lac+,MAHARASHTRA,Graduate Professional
2049,Uday Ravindra Samant,RATNAGIRI,SHS,0,4 Crore+,1 Crore+,MAHARASHTRA,12th Pass
2050,Chaudhari Shirish Madhukarrao,RAVER,INC,2,7 Crore+,27 Lac+,MAHARASHTRA,Post Graduate
2051,Amit Subhashrao Zanak,RISOD,INC,0,4 Crore+,11 Lac+,MAHARASHTRA,Graduate Professional
2052,Nanabhau Falgunrao Patole,SAKOLI,INC,7,2 Crore+,11 Lac+,MAHARASHTRA,12th Pass
2053,Manjula Tulshiram Gavit,SAKRI (ST),IND,0,4 Crore+,40 Lac+,MAHARASHTRA,Graduate
2054,Dhananjay Alias Sudhir Hari Gadgil,SANGLI,BJP,0,52 Crore+,94 Lac+,MAHARASHTRA,Graduate
2055,Vijay Alias Balasaheb Bhausaheb Thorat,SANGMNER,INC,0,0,17 Lac+,MAHARASHTRA,Graduate Professional
2056,Shahaji Patil,SANGOLA,SHS,0,1 Crore+,46 Lac+,MAHARASHTRA,Graduate Professional
2057,Bhonsle Shivendrasinh Abhaysinhraje,SATARA,BJP,5,62 Crore+,10 Crore+,MAHARASHTRA,12th Pass
2058,Sunil Chhatrapal Kedar,SAVNER,INC,4,4 Crore+,,MAHARASHTRA,Post Graduate
2059,Deepak Vasantrao Kesarkar,SAWANTWADI,SHS,0,82 Crore+,22 Crore+,MAHARASHTRA,Graduate
2060,Rajesh Udesing Padavi,SHAHADA (ST),BJP,1,3 Crore+,11 Lac+,MAHARASHTRA,Graduate
2061,Daulat Bhika Daroda,SHAHAPUR (ST),NCP,1,3 Crore+,10 Lac+,MAHARASHTRA,Graduate
2062,Dr. Vinay Vilasrao Kore,SHAHUWADI,Jan Surajya Shakti,0,2 Crore+,,MAHARASHTRA,12th Pass
2063,Monica Rajeev Rajale,SHEVGAON,BJP,0,9 Crore+,1 Crore+,MAHARASHTRA,Graduate
2064,Mansing Fattesingrao Naik,SHIRALA,NCP,1,25 Crore+,94 Lac+,MAHARASHTRA,12th Pass
2065,Vikhe Patil Radhakrishna Eknathrao,SHIRDI,BJP,0,0,,MAHARASHTRA,Graduate
2066,Rajendra Shamgonda Patil,SHIROL,IND,0,11 Crore+,1 Crore+,MAHARASHTRA,Others
2067,Kashiram Vechan Pawara,SHIRPUR (ST),BJP,2,94 Lac+,13 Lac+,MAHARASHTRA,Literate
2068,Ashok Raosaheb Pawar,SHIRUR,NCP,2,13 Crore+,2 Crore+,MAHARASHTRA,Graduate Professional
2069,Ajay Vinayak Choudhari,SHIVADI,SHS,1,4 Crore+,39 Lac+,MAHARASHTRA,10th Pass
2070,Siddharth Anil Shirole,SHIVAJINAGAR,BJP,1,8 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
2071,Pachpute Babanrao Bhikaji,SHRIGONDA,BJP,27,8 Crore+,1 Crore+,MAHARASHTRA,Graduate
2072,Kanade Lahu Natha,SHRIRAMPUR (SC),INC,1,9 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
2073,Aditi Sunil Tatkare,SHRIVARDHAN,NCP,1,39 Lac+,15 Lac+,MAHARASHTRA,Post Graduate
2074,Abdul Sattar Abdul Nabi,SILLOD,SHS,8,20 Crore+,1 Crore+,MAHARASHTRA,12th Pass
2075,Dr. Rajendra Bhaskarrao Shingane,SINDHKHED RAJA,NCP,2,0,2 Crore+,MAHARASHTRA,Graduate Professional
2076,Jaykumar Jitendrasinh Rawal,SINDHKHEDA,BJP,2,16 Crore+,56 Lac+,MAHARASHTRA,Graduate
2077,Adv. Kokate Manikrao Shivajirao,SINNAR,NCP,2,20 Crore+,4 Crore+,MAHARASHTRA,Graduate Professional
2078,Captain R Tamil Selvan,SION KOLIWADA,BJP,3,3 Crore+,2 Crore+,MAHARASHTRA,10th Pass
2079,Praniti Shushilkumar Shinde,SOLAPUR CITY CENTRAL,INC,5,4 Crore+,,MAHARASHTRA,Graduate Professional
2080,Deshmukh Vijaykumar Sidramappa,SOLAPUR CITY NORTH,BJP,0,13 Crore+,,MAHARASHTRA,Graduate
2081,Deshmukh Subhash Sureshchandra,SOLAPUR SOUTH,BJP,4,48 Crore+,17 Crore+,MAHARASHTRA,10th Pass
2082,Sumanvahini R.R. (Aba) Patil,TASGAON-KAVATHE MAHANKAL,NCP,0,3 Crore+,3 Lac+,MAHARASHTRA,5th Pass
2083,Adv. Yashomati Chandrakant Thakur,TEOSA,INC,10,9 Crore+,8 Lac+,MAHARASHTRA,Graduate Professional
2084,Kelkar Sanjay Mukund,THANE,BJP,0,4 Crore+,1 Crore+,MAHARASHTRA,Graduate
2085,Vijay Rahangdale,TIRORA,BJP,3,0,9 Lac+,MAHARASHTRA,Graduate
2086,Ranajagjitsinha Padmasinha Patil,TULJAPUR,BJP,4,41 Crore+,10 Crore+,MAHARASHTRA,Graduate Professional
2087,Karemore Raju Manikrao,TUMSAR,NCP,3,11 Crore+,5 Crore+,MAHARASHTRA,12th Pass
2088,Bansode Sanjay Baburao,UDGIR (SC),NCP,0,2 Crore+,,MAHARASHTRA,12th Pass
2089,Kumar Uttamchand Ailani,ULHASNAGAR,BJP,2,27 Crore+,10 Crore+,MAHARASHTRA,10th Pass
2090,Namdev Jayram Sasane,UMARKHED (SC),BJP,0,83 Lac+,,MAHARASHTRA,Post Graduate
2091,Raju Devnath Parwe,UMRED (SC),INC,2,4 Crore+,1 Crore+,MAHARASHTRA,12th Pass
2092,Mahesh Baldi,URAN,IND,2,33 Crore+,10 Crore+,MAHARASHTRA,12th Pass
2093,Sunil Vijay Tingre,VADGAON SHERI,NCP,3,49 Crore+,1 Crore+,MAHARASHTRA,10th Pass
2094,Bornare Ramesh Nanasaheb,VAIJAPUR,SHS,0,7 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
2095,Ashish Babaji Shelar,VANDRE  WEST,BJP,3,0,1 Crore+,MAHARASHTRA,Graduate Professional
2096,Zeeshan Baba Siddique,VANDRE EAST,INC,0,8 Crore+,76 Lac+,MAHARASHTRA,Graduate
2097,Dr. Bharati Lavekar,VARSOVA,BJP,0,4 Crore+,,MAHARASHTRA,Doctorate
2098,Hitendra Vishnu Thakur,VASAI,Bahujan Vikas Aaghadi,5,114 Crore+,24 Crore+,MAHARASHTRA,Graduate
2099,Sunil Chandrakant Bhuasara,VEKRAMGRTH (ST),NCP,2,82 Lac+,55 Lac+,MAHARASHTRA,12th Pass
2100,Raut Sunil Rajaram,VIKHROLI,SHS,3,5 Crore+,1 Crore+,MAHARASHTRA,12th Pass
2101,Alavani Parag,VILE PARLE,BJP,0,25 Crore+,2 Crore+,MAHARASHTRA,Graduate Professional
2102,Kalidas Nilkanth Kolambkar,WADALA,BJP,0,5 Crore+,40 Lac+,MAHARASHTRA,10th Pass
2103,Makrand Laxmanrao Jadhav (Patil),WAI,NCP,1,2 Crore+,53 Lac+,MAHARASHTRA,Others
2104,Sanjivreddy Bapurao Bodkurwar,WANI,BJP,0,6 Crore+,16 Lac+,MAHARASHTRA,Graduate
2105,Dr. Pankaj Rajesh Bhoyar,WARDHA,BJP,0,0,2 Crore+,MAHARASHTRA,Doctorate
2106,Dhanorkar Pratibha Suresh,WARORA,INC,0,13 Crore+,2 Crore+,MAHARASHTRA,12th Pass
2107,Lakhan Sahadeo Malik,WASHIM (SC),BJP,0,80 Lac+,2 Lac+,MAHARASHTRA,Literate
2108,Aditya Thackeray,WORLI,SHS,0,17 Crore+,,MAHARASHTRA,Graduate Professional
2109,Madan Madhukar Yerawar,YAVATMAL,BJP,1,9 Crore+,1 Crore+,MAHARASHTRA,Others
2110,Chhagan Chandrakant Bhujbal,YEVLA,NCP,7,26 Crore+,91 Lac+,MAHARASHTRA,10th Pass
2111,Thounaojam Shyamkumar,ANDRO,BJP,2,4 Crore+,55 Lac+,MANIPUR,10th Pass
2112,Konthoujam Govindas Singh,BISHENPUR,BJP,0,8 Crore+,30 Lac+,MANIPUR,Graduate
